Sample Number,Sampled Date,Partial Postal Code,Lead Amount ppb
1171095,08-May-11,M8X,0.900
1171096,08-May-11,M4X,14.0
1171103,06-May-11,M4G,1.00
1171105,06-May-11,M6R,5.00
1171112,06-May-11,M6R,1.00
1171113,06-May-11,M9A,0.900
1171115,06-May-11,M2R,0.900
1171117,09-May-11,M6H,240000
1171122,09-May-11,M4X,13.0
1171123,09-May-11,M6H,240000
1171127,09-May-11,M6J,14.0
1171129,10-May-11,M4G,0.800
1171131,10-May-11,M4E,0.700
1171132,16-May-11,M9A,0.700
1171137,09-May-11,M6J,1.00
1171139,17-Apr-11,M4N,11.0
1171140,11-May-11,M4M,10.0
1171819,25-Mar-11,M4S,2.00
1171830,25-Mar-11,M2N,1.00
1172334,19-May-11,M4N,19.0
1172335,15-May-11,M5N,7.00
1172336,11-May-11,M4S,22.0
1172448,27-Apr-11,M1N,6.00
1172457,08-May-11,M5T,5250
1172458,08-May-11,M4M,16.0
1172462,12-May-11,M4J,0.700
1172479,11-May-11,M4M,2.00
1172489,09-May-11,M5S,4.00
1172490,10-May-11,M6P,3.00
1172497,11-May-11,M6E,3.00
1172500,11-May-11,M6H,1.00
1172513,11-May-11,M6K,7.00
1172524,11-May-11,M6P,8.00
1172528,12-May-11,M6P,3.00
1172529,12-May-11,M6H,4.00
1172536,12-May-11,M8X,<0.500
1172538,12-May-11,M6P,6.00
1172540,12-May-11,M4B,<0.500
1172543,12-May-11,M4J,15.0
1172549,13-May-11,M6J,14.0
